Kepolisian;X1;X2;X3;X4;X5;X6;X7;X8
Aceh;15;1206;232;29;145;2408;1596;1130
Sumatera Utara;99;6207;774;55;780;10916;5932;5562
Sumatera Barat;20;1724;294;97;185;3732;913;989
Riau;13;1013;143;11;413;3152;1646;1095
Jambi;11;531;69;9;87;1770;619;767
Sumatera Selatan;77;1551;172;141;563;2911;2554;1766
Bengkulu;33;479;108;1;106;963;340;556
Lampung;21;647;247;41;399;2532;1521;1373
Kepualauan Bangka Belitung;10;150;52;47;42;690;332;130
Kepulauan Riau;13;514;109;1;103;1003;362;543
DKI Jakarta;32;1449;113;31;259;3153;5981;4595
Jawa Barat;20;1445;371;11;257;2950;1141;2792
Jawa Tengah;30;382;349;11;236;3883;1601;1814
DI Yogyakarta;6;573;98;27;126;1769;460;1225
Jawa Timur;55;1404;256;177;341;4976;2629;2817
Banten;8;521;81;151;94;1657;634;718
Bali;6;414;65;4;54;821;668;408
Nusa Tenggara Barat;11;646;95;46;284;2120;571;876
Nusa Tenggara Timur;40;1726;160;14;42;1494;41;574
Kalimantan Barat;35;184;137;112;54;1254;755;431
Kalimantan Tengah;17;305;115;1;86;837;590;315
Kalimantan Selatan;38;462;51;0;367;1208;1582;539
Kalimantan Timur;12;352;113;1;151;862;1354;356
Kalimantan Utara;10;91;32;10;19;340;245;72
Sulawesi Utara;74;1976;242;88;72;1394;100;945
Sulawesi Tengah;18;1391;175;22;140;2121;340;677
Sulawesi Selatan;71;3848;172;311;348;4428;1013;1786
Sulawesi Tenggara;26;734;173;9;42;632;192;122
Gorontalo;13;1043;129;73;4;696;101;467
Sulawesi Barat;8;505;64;7;15;607;175;244
Maluku;10;993;1398;119;23;894;142;307
Maluku Utara;1;255;100;13;14;112;120;49
Papua Barat;10;655;47;124;155;1301;120;356
Papua;27;1296;100;176;532;3678;241;701
